date,source,sentence,topic,people (keyword count in url),crops (keyword count in url),homes (keyword count in url),money (keyword count in url),importance (keyword count in url),location
8/25/15,https://www.tribuneindia.com/news/crime/boy-s-death-four-booked/124069.html,"abohar 2 killed in mishap  hoshiari lal (21) and sunny (20) died as a truck reportedly hit their motorcycle on sunday, near talwara jheel, in hanumangarh",death,11,4,4,0,19,"amritsar, sas nagar, tarn taran"
6/6/15,https://www.tribuneindia.com/news/community/thick-security-blanket-for-amritsar/90237.html,"   meanwhile, the dal khalsa reiterated its demand for an international probe into the killings of hundreds of sikh pilgrims and loot of manuscripts from sikh reference library during the army operation",death,10,1,6,0,17,"amritsar, barnala, bathinda, faridkot, fazilka, ferozepur, ludhiana, mansa, moga, patiala, sangrur, sri muktsar sahib"
4/15/15,https://www.tribuneindia.com/news/community/june-30-deadline-to-clean-drains-in-areas-prone-to-waterlogging/67499.html,june 30 deadline to clean drains in areas prone to waterlogging,death,3,0,1,0,4,"fazilka, sri muktsar sahib"
4/15/15,https://www.tribuneindia.com/news/community/june-30-deadline-to-clean-drains-in-areas-prone-to-waterlogging/67499.html,"archit watts tribune news service muktsar, april 14 the state irrigation department has set june 30 deadline to clear drains and undertake other anti-flood measures in various districts of the malwa belt, particularly muktsar and fazilka, that are prone to waterlogging during monsoon",death,3,0,1,0,4,"fazilka, sri muktsar sahib"
3/18/15,https://www.tribuneindia.com/news/punjab/punjab-budget-speech-text/55244.html,youth skilling punjab youth 18,death,0,0,0,0,0,punjab
3/18/15,https://www.tribuneindia.com/news/punjab/punjab-budget-speech-text/55244.html," keeping this in view and also the fact that with a significant presence 8 of msme sector, the state will be a crucial partner in the ‘make in india’ campaign, the state has set up an empowered ‘state skill development mission’ with three tiers at state, district and block level",death,0,0,0,0,0,punjab
3/18/15,https://www.tribuneindia.com/news/punjab/punjab-budget-speech-text/55244.html," under this mission 22 multi skill development centres, one in each district is proposed to be set up in a phased manner",death,0,0,0,0,0,punjab
3/18/15,https://www.tribuneindia.com/news/punjab/punjab-budget-speech-text/55244.html,"the mission is also in the process of setting up three skill development centres in the health sector at medical colleges, amritsar, patiala and faridkot",death,0,0,0,0,0,punjab
3/18/15,https://www.tribuneindia.com/news/punjab/punjab-budget-speech-text/55244.html," under this mission, i also propose to set up three specialised skill development centres in construction sector in partnership with renowned companies in the construction sector",death,0,0,0,0,0,punjab
3/18/15,https://www.tribuneindia.com/news/punjab/punjab-budget-speech-text/55244.html,"to provide skill training at their doorsteps, 2000 skill training centres for girls and 500 centres for boys will be opened in villages in the existing infrastructure of government schools and other buildings at village level when they are not in use",death,0,0,0,0,0,punjab
3/18/15,https://www.tribuneindia.com/news/punjab/punjab-budget-speech-text/55244.html,the infant mortality rate (imr) declined by 18 points from 44 in 2006 to 26 in 2013,death,0,0,0,0,0,punjab
3/18/15,https://www.tribuneindia.com/news/punjab/punjab-budget-speech-text/55244.html,the maternal mortality rate (mmr) declined from 192 in 2004-06 to 141 in 2011-13,death,0,0,0,0,0,punjab
3/18/15,https://www.tribuneindia.com/news/punjab/punjab-budget-speech-text/55244.html,skill development 100,death,0,0,0,0,0,punjab
3/18/15,https://www.tribuneindia.com/news/punjab/punjab-budget-speech-text/55244.html,"an amount of rs 267.92 crore has been earmarked for skill development of 1,21,000 youth under various schemes",death,0,0,0,0,0,punjab
3/3/15,https://www.tribuneindia.com/news/community/3-of-family-die-in-roof-collapse/48956.html,3 of family die in roof collapse,death,11,2,8,0,21,"patiala, sas nagar"
3/3/15,https://www.tribuneindia.com/news/community/3-of-family-die-in-roof-collapse/48956.html,"tribune news service  patiala, march 2 three members of a family, including two children, were killed in bharat nagar, patiala, when the roof of their house collapsed because of heavy rainfall last night",death,11,2,8,0,21,"patiala, sas nagar"
10/27/19,https://www.tribuneindia.com/news/punjab/dengue-scare-in-ludhiana-10-year-old-girl-dies/852773.html,"dengue scare in ludhiana, 10-year-old girl dies",death,18,0,2,0,20,ludhiana
10/27/19,https://www.tribuneindia.com/news/punjab/dengue-scare-in-ludhiana-10-year-old-girl-dies/852773.html,"tribune news service ludhiana, october 26  a 10-year-old girl died of dengue on friday night",death,18,0,2,0,20,ludhiana
10/27/19,https://www.tribuneindia.com/news/punjab/dengue-scare-in-ludhiana-10-year-old-girl-dies/852773.html,"besides, a four-year-old girl ananya of new durga colony had died on monday after she suffered from dengue shock syndrome as per the report of pgimer, chandigarh",death,18,0,2,0,20,ludhiana
10/27/19,https://www.tribuneindia.com/news/punjab/dengue-scare-in-ludhiana-10-year-old-girl-dies/852773.html, two children have died due to dengue in the last five days in new durga colony of dhandari khurd in ward 28 ludhiana,death,18,0,2,0,20,ludhiana
10/27/19,https://www.tribuneindia.com/news/punjab/dengue-scare-in-ludhiana-10-year-old-girl-dies/852773.html,"  rk yadav, president of yadav mahasabha punjab, said, “apart from death of these two children, a few suspected dengue deaths have also been reported",death,18,0,2,0,20,ludhiana
8/26/19,https://www.tribuneindia.com/news/punjab/inflow-from-pak-still-on-army-ndrf-on-alert/822775.html,“already six villagers have died while crossing the river on a ‘bera’ that got damaged,death,16,10,27,1,54,ferozepur
8/19/19,https://www.tribuneindia.com/news/punjab/rain-wreaks-havoc-4-die-in-roof-collapse/819437.html,"rain wreaks havoc, 4 die in roof collapse",death,18,3,16,3,40,"fatehgarh sahib, patiala, sbs nagar"
8/19/19,https://www.tribuneindia.com/news/punjab/rain-wreaks-havoc-4-die-in-roof-collapse/819437.html,"gurminder grewal  khanna, august 18  four persons were killed in two separate rain-related incidents in khanna",death,18,3,16,3,40,"fatehgarh sahib, patiala, sbs nagar"
8/19/19,https://www.tribuneindia.com/news/punjab/rain-wreaks-havoc-4-die-in-roof-collapse/819437.html," three members of a family, including a minor boy, died when the roof of their house collapsed in hole village near khanna",death,18,3,16,3,40,"fatehgarh sahib, patiala, sbs nagar"
8/19/19,https://www.tribuneindia.com/news/punjab/rain-wreaks-havoc-4-die-in-roof-collapse/819437.html," toddler washed away  ropar: a three-year-old daughter of a watchman, identified as sundri, was feared drowned when water flooded their house situated in a low-lying area of ropar district on sunday",death,18,3,16,3,40,"fatehgarh sahib, patiala, sbs nagar"
8/18/19,https://www.tribuneindia.com/news/punjab/budhki-sarsa-rivers-in-spate-admn-orders-evacuation-of-dozens-of-villages/819303.html,"meanwhile, a three-year-old son of a watchman at a private school feared drowned when the water flooded his house situated in the low-lying area of the building.",death,12,2,23,0,37,punjab
