level_0,index,date,source,sentence,topic
101,101,2018-07-05,https://www.tribuneindia.com/news/punjab/rain-pours-misery-in-malwa-5-dead/615378.html," in another incident at malout village, harjinder kaur (22), who was also pregnant, died after the roof of her house collapsed",death
102,102,2018-07-05,https://www.tribuneindia.com/news/punjab/rain-pours-misery-in-malwa-5-dead/615378.html,"ush({ });  at mahuana village, tarsem singh (56), a truck driver from samana in patiala district, who had come here to attend a two-day refresher course at the state institute of automotive and driving skills (siads) died after the roof of a roadside eatery gave way",death
103,103,2019-09-02,https://www.tribuneindia.com/news/punjab/1-lakh-cattle-on-the-loose-claim-100-lives-a-year-in-punjab/826294.html," in patiala, the home district of chief minister capt amarinder singh and local bodies minister brahm mohindra, four people have died in the past one month in such incidents",death
104,104,2019-09-02,https://www.tribuneindia.com/news/punjab/1-lakh-cattle-on-the-loose-claim-100-lives-a-year-in-punjab/826294.html,"ush({ });  as per the record of the ministry of road transport, provided by the state police, 114 persons died and 11 were injured in accidents involving strays in 2018",death
105,105,2019-09-02,https://www.tribuneindia.com/news/punjab/1-lakh-cattle-on-the-loose-claim-100-lives-a-year-in-punjab/826294.html,"in the last three years, 370 people have died and another 167 have injured in road accidents",death
106,106,2019-09-02,https://www.tribuneindia.com/news/punjab/1-lakh-cattle-on-the-loose-claim-100-lives-a-year-in-punjab/826294.html,"4 killed in patiala, 8 in sangrur last month  in patiala, four people have died in the past one month in stray cattle-related incidents",death
107,107,2019-09-02,https://www.tribuneindia.com/news/punjab/1-lakh-cattle-on-the-loose-claim-100-lives-a-year-in-punjab/826294.html,"as per the record of the ministry of road transport, provided by the state police, 114 persons died and 11 were injured in accidents involving strays in 2018",death
108,108,2019-08-05,https://www.tribuneindia.com/news/punjab/sad-aap-disrupt-punjab-assembly-on-bargari-probe/813341.html,"tribune news service chandigarh, august 5   the question hour during the second sitting of the punjab assembly monsoon session on monday was drowned amidst din over the bargari sacrilege investigation",death
109,109,2019-08-02,https://www.tribuneindia.com/news/punjab/punjab-assembly-adjourned-within-minutes-on-day-1/811894.html,  parminder singh dhindsa of akali dal and aman arora of aap said that the name of fatehveer—a two-year-old child who had fallen into a borewell in sangrur and died—should be included in the list,death
110,110,2019-07-11,https://www.tribuneindia.com/news/punjab/rains-cast-shadow-on-corridor-work/800091.html,"ravi dhaliwal tribune news service  dera baba nanak, july 10  with just 30 per cent of the work completed till yet and the monsoon setting in, there are reports that the october 31st deadline to complete the kartarpur corridor project may be missed",death
111,111,2019-07-11,https://www.tribuneindia.com/news/punjab/rains-cast-shadow-on-corridor-work/800091.html," officials confirmed that for the next two months, when the monsoon will be at its peak, the work would continue to be done in bits and pieces, a development which is sure to push the deadline back by a few weeks",death
112,112,2019-07-11,https://www.tribuneindia.com/news/punjab/rains-cast-shadow-on-corridor-work/800091.html,this means we have very less time left if we have to meet the october 31 deadline,death
113,113,2019-07-11,https://www.tribuneindia.com/news/punjab/rains-cast-shadow-on-corridor-work/800091.html,"       officials confirmed that for the next two months, when the monsoon will be at its peak, the work would continue to be done in bits and pieces, a development which is sure to push the deadline back by a few weeks",death
114,114,2019-06-11,https://www.tribuneindia.com/news/punjab/sluggish-monsoon-may-spell-trouble-for-farm-sector/786365.html," if there is a long gap between two rain spells, there is high probability of newly planted seeds getting killed",death
115,115,2018-09-16,https://www.tribuneindia.com/news/punjab/daduwal-mand-are-congress-puppets-sukhbir-badal/653799.html,   highlights parkash badal claims one sikh radical arrested with a pistol meant to kill him and his son at the rally,death
116,116,2018-09-14,https://www.tribuneindia.com/news/punjab/outlet-blocked-village-turns-pond/652677.html," irked with no response from the administration, the villagers collected rs 3,000 and drained out water from the streets with the help of a diesel pump",death
117,117,2018-09-03,https://www.tribuneindia.com/news/punjab/things-get-verse-in-vidhan-sabha/646983.html,"cancer-prone village bats for hygiene  abohar: dangarkhera village, once infamous for cancer deaths, is now focusing on health and hygiene",death
118,118,2018-08-22,https://www.tribuneindia.com/news/punjab/sidhu-issue-will-be-raised-in-assembly-and-parliament-shwait-malik/641037.html,"ravi s singh  tribune news service  new delhi, august 22  the controversy stoked by punjab minister navjot singh sidhu by  hugging pakistan army chief qamar javed bajwa refuses to die down with  the state bjp president and rajya sabha mp shwait malik saying the issue  would be raised in the state assembly during the monsoon session, and  in parliament during its next session",death
119,119,2018-06-06,https://www.tribuneindia.com/news/punjab/beas-on-revival-mode-gets-fish-seeds/600824.html,   tonnes of fish that died due to molasses spill on may 17 were supposed to breed in the coming monsoon,death
120,120,2018-05-26,https://www.tribuneindia.com/news/punjab/beas-spill-food-scarcity-to-hit-dolphins-gharials/595164.html,"gs paul tribune news service amritsar, may 25  tonnes of fish which died due to the molasses’ spill in the beas were supposed to breed in the coming monsoon",death
